"Source","Target","Type","Id","Label","Interval","Weight"
"dor","ber","undirected",1,1,"",4
"fic","ber","undirected",4,4,"",2
"fic","dor","undirected",5,5,"",3
"gan","dor","undirected",12,12,"",0
"gan","eri","undirected",13,13,"",3
"gan","gai","undirected",15,15,"",2
"han","ber","undirected",16,16,"",2
"her","han","undirected",35,35,"",2
"hor","ber","undirected",37,37,"",1
"hor","her","undirected",45,45,"",3
"iro","gan","undirected",61,61,"",4
"iro","hor","undirected",65,65,"",3
"isi","ind","undirected",77,77,"",4
"jea","ber","undirected",79,79,"",2
"jea","han","undirected",85,85,"",4
"las","ber","undirected",92,92,"",1
"las","dor","undirected",93,93,"",2
"las","fic","undirected",95,95,"",3
"las","hor","undirected",101,101,"",0
"las","isi","undirected",104,104,"",2
"nem","ber","undirected",106,106,"",3
"nem","hav","undirected",113,113,"",1
"nem","las","undirected",120,120,"",3
"ner","ber","undirected",121,121,"",3
"ner","dor","undirected",122,122,"",2
"ner","iro","undirected",132,132,"",0
"ner","las","undirected",135,135,"",1
"olg","ber","undirected",137,137,"",4
"olg","fic","undirected",140,140,"",4
"olg","hav","undirected",144,144,"",1
"olg","isi","undirected",149,149,"",0
"olg","jea","undirected",150,150,"",2
"olg","las","undirected",151,151,"",4
"olg","nem","undirected",152,152,"",3
"pac","dor","undirected",155,155,"",2
"pac","eri","undirected",156,156,"",0
"pac","gan","undirected",159,159,"",2
"pac","hav","undirected",161,161,"",1
"pac","olg","undirected",171,171,"",0
"pat","gai","undirected",176,176,"",2
"pat","han","undirected",178,178,"",2
"pat","hav","undirected",179,179,"",2
"pat","nem","undirected",187,187,"",2
"pat","ner","undirected",188,188,"",2
"pat","olg","undirected",189,189,"",1
"yin","ber","undirected",191,191,"",5
"yin","dor","undirected",192,192,"",2
"yin","fic","undirected",194,194,"",3
"yin","hav","undirected",198,198,"",2
"yin","her","undirected",199,199,"",5
"yin","iro","undirected",202,202,"",3
"yin","nem","undirected",206,206,"",4
"yin","pac","undirected",209,209,"",0
"yoh","ber","undirected",211,211,"",1
"yoh","dor","undirected",212,212,"",2
"yoh","hav","undirected",218,218,"",4
"yoh","her","undirected",219,219,"",1
"yoh","las","undirected",225,225,"",0
"yoh","nem","undirected",226,226,"",5
"yoh","olg","undirected",228,228,"",3
"yoh","pat","undirected",230,230,"",4
